Booking Ref,Stage,Date,Handled By,Status
FOY-0001,Request Received ,2026-01-29 10:00,,complete
FOY-0001,placement offer,01-Feb-2026,Roisin Friel,closed
FOY-0001,Placement Re-allocation,"Feb 02, 2026",Niamh Kelly,completed
FOY-0001,booking confirmed,2026-02-04,Declan Quinn,
FOY-0001,Invoice Issued,07-Feb-2026,Sean Gallagher,done
FOY-0001,Document Re-request,2026-02-08 10:00,Orla McLaughlin,completed
FOY-0001,PRE-ARRIVAL LOGISTICS,2026-02-12,Niamh Kelly,complete
FOY-0001,Arrival,21/02/2026,Ciaran Bradley,done
FOY-0002,REQUEST RECEIVED,2026-01-28 17:30,Niamh Kelly,complete
FOY-0002,Placement Offer,2026-01-31 17:30,Ciaran Bradley,complete
FOY-0002,Placement Re-allocation,01/02/2026,Roisin Friel,ok
FOY-0002,Booking Confirmed,2026-02-12,Paul Doherty,closed
FOY-0002,invoice issued,"Feb 15, 2026",Niamh Kelly,done
FOY-0002,Document Re-request,"Feb 16, 2026",Niamh Kelly,closed
FOY-0002,  Pre-Arrival Logistics,"Feb 22, 2026",,closed
FOY-0002,Arrival,26-Feb-2026,Niamh Kelly,ok
FOY-0003,Request Received,"Jan 28, 2026",Declan Quinn,ok
FOY-0003,  placement offer,29-Jan-2026,,done
FOY-0003,  Booking Confirmed,2026-02-06 16:15,Sean Gallagher,closed
FOY-0003,Invoice Issued,2026-02-08,Roisin Friel,ok
FOY-0003,Pre-Arrival Logistics ,2026-02-10 16:15,Ciaran Bradley,done
FOY-0003,Arrival,2026-02-16 16:15,Sean Gallagher,done
FOY-0004,Request Received,2026-03-11 08:00,Declan Quinn,ok
FOY-0004,Placement Offer,2026-03-12 08:00,Orla McLaughlin,closed
FOY-0004,PLACEMENT RE-ALLOCATION,14-Mar-2026,Aine Murray,
FOY-0004,Booking Confirmed,16-Mar-2026,Paul Doherty,done
FOY-0004,Invoice Issued,18-Mar-2026,Aine Murray,ok
FOY-0004,Pre-Arrival Logistics,"Mar 24, 2026",Sean Gallagher,complete
FOY-0004,Arrival,2026-03-31,Declan Quinn,closed
FOY-0005,Request Received,"Feb 14, 2026",Aine Murray,closed
FOY-0005,placement offer,2026-02-17,Niamh Kelly,closed
FOY-0005,PLACEMENT RE-ALLOCATION,2026-02-19 09:15,Orla McLaughlin,done
FOY-0005,  Booking Confirmed,02/03/2026,Orla McLaughlin,ok
FOY-0005,  Invoice Issued,06/03/2026,Aine Murray,closed
FOY-0005,document re-request,2026-03-07,Ciaran Bradley,complete
FOY-0005,Pre-Arrival Logistics,11-Mar-2026,Niamh Kelly,complete
FOY-0005,  Arrival,"Mar 16, 2026",Roisin Friel,complete
FOY-0006,Request Received,02/03/2026,,complete
FOY-0006,Placement Offer,04-Mar-2026,Roisin Friel,closed
FOY-0006,booking confirmed,"Mar 05, 2026",Aine Murray,ok
FOY-0006,Invoice Issued ,08-Mar-2026,Sean Gallagher,
FOY-0006,  Document Re-request,"Mar 08, 2026",Ciaran Bradley,done
FOY-0006,Pre-Arrival Logistics,"Mar 12, 2026",Niamh Kelly,ok
FOY-0006,Arrival,2026-03-17,Orla McLaughlin,ok
FOY-0007,Request Received,2026-03-28,Orla McLaughlin,closed
FOY-0007,Placement Offer,2026-03-29,Aine Murray,ok
FOY-0007,Booking Confirmed,2026-03-30 11:45,Declan Quinn,complete
FOY-0007,Invoice Issued,2026-03-31 11:45,Sean Gallagher,closed
FOY-0007,Document Re-request,2026-03-31 11:45,Ciaran Bradley,ok
FOY-0007,Pre-Arrival Logistics,06/04/2026,Declan Quinn,complete
FOY-0007,Arrival,"Apr 13, 2026",,completed
FOY-0008,Request Received ,2026-01-20 11:45,Ciaran Bradley,
FOY-0008,Placement Offer,2026-01-22,Roisin Friel,completed
FOY-0008,Placement Re-allocation,24-Jan-2026,Sean Gallagher,completed
FOY-0008,Booking Confirmed,01/02/2026,Declan Quinn,closed
FOY-0008,Invoice Issued ,2026-02-05 11:45,Niamh Kelly,
FOY-0008,Pre-Arrival Logistics,2026-02-10 11:45,Orla McLaughlin,ok
FOY-0008,Arrival ,"Feb 14, 2026",Sean Gallagher,done
FOY-0009,  Request Received,2026-01-20 11:15,Orla McLaughlin,complete
FOY-0009,Placement Offer,"Jan 23, 2026",Paul Doherty,completed
FOY-0009,Placement Re-allocation ,25/01/2026,Paul Doherty,completed
FOY-0009,Booking Confirmed ,26-Jan-2026,Roisin Friel,done
FOY-0009,invoice issued,2026-01-29 11:15,Ciaran Bradley,ok
FOY-0009,DOCUMENT RE-REQUEST,30-Jan-2026,Declan Quinn,closed
FOY-0009,  Pre-Arrival Logistics,02/02/2026,Declan Quinn,ok
FOY-0009,Arrival,"Feb 12, 2026",Ciaran Bradley,closed
FOY-0010,Request Received,2026-01-11 11:45,Declan Quinn,done
FOY-0010,Placement Offer,2026-01-13 11:45,Ciaran Bradley,closed
FOY-0010,Booking Confirmed,26/01/2026,Ciaran Bradley,closed
FOY-0010,INVOICE ISSUED,28-Jan-2026,Orla McLaughlin,complete
FOY-0010,  DOCUMENT RE-REQUEST,"Jan 29, 2026",Aine Murray,closed
FOY-0010,Pre-Arrival Logistics ,2026-02-01,Orla McLaughlin,ok
FOY-0010,Arrival ,2026-02-04,Roisin Friel,closed
FOY-0011,request received,08-Feb-2026,Sean Gallagher,ok
FOY-0011,Placement Offer,10-Feb-2026,Aine Murray,done
FOY-0011,Booking Confirmed ,19/02/2026,Niamh Kelly,
FOY-0011,Invoice Issued ,"Feb 23, 2026",Orla McLaughlin,
FOY-0011,Document Re-request,23/02/2026,Roisin Friel,complete
FOY-0011,  Pre-Arrival Logistics,"Feb 27, 2026",Orla McLaughlin,ok
